sep=;
Account number;Card number;Account/Cardholder;Purchase date;Booking text;Sector;Amount;Original currency;Rate;Currency;Debit;Credit;Booked
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2025;SELECTA SAS              LE BOURGET   FRA;Grocery stores;5.5;EUR;;EUR;5.5;;25.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2026;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;7.25;EUR;;EUR;7.25;;25.02.2026
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2027;SELECTA SAS              LE BOURGET   FRA;Grocery stores;1.5;EUR;;EUR;1.5;;25.02.2027
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2028;ANDIAMO sc      4774426  01THOIRY     FRA;Restaurants;12.51;EUR;;EUR;12.51;;25.02.2028
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2029;MUSEUMSCAFE              CHUR         CHE;Restaurants;22.0;CHF;;CHF;22.0;;25.02.2029
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2030;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;25.02.2030
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2031;KaffeeKlatsch            Chur         CHE;Restaurants;43.4;CHF;;CHF;43.4;;25.02.2031
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2032;Forino AG                Savognin     CHE;Bakeries;16.7;CHF;;CHF;16.7;;25.02.2032
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2033;Migros MM Symondpark     Davos Platz  CHE;Grocery stores;21.9;CHF;;CHF;21.9;;25.02.2033
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;24.02.2034;migrolino Davos Dorf     Davos Dorf   CHE;Grocery stores;6.4;CHF;;CHF;6.4;;25.02.2034
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2025;NOVAE RESTAURATION       POISSY       FRA;Fast-Food Restaurants;9.75;EUR;;EUR;9.75;;21.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2025;SBB CFF FFS Mobile TicketBern         CHE;Commuter transportation;2.0;CHF;;CHF;2.0;;21.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2025;Brezelkonig AG           GENEVE       CHE;Bakeries;8.2;CHF;;CHF;8.2;;21.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2026;SP TRAVELIN              EPE          NLD;Clothing store;83.98;EUR;;EUR;;83.98;21.02.2025
9898 9898 9898;4040 40XX XXXX XXXX;JOE DOE;20.02.2027;LA BOULANGE              THOIRY       FRA;Bakeries;1.2;EUR;;EUR;1.2;;21.02.2026
